"YearBCE","Sites","SPD"
-5500,25,0.0719948329
-5499,21,0.0706271998
-5498,21,0.0693103593
-5497,21,0.0680578222
-5496,21,0.0668823395
-5495,21,0.0657900705
-5494,21,0.0647880408
-5493,21,0.0638812525
-5492,21,0.0630742355
-5491,21,0.0623711806
-5490,21,0.0617502921
-5489,21,0.0612118255
-5488,21,0.0607561065
-5487,21,0.060382965
-5486,21,0.0600924167
-5485,21,0.0598402182
-5484,21,0.0596263062
-5483,21,0.0594505976
-5482,21,0.0593127918
-5481,21,0.0592129785
-5480,21,0.0590914097
-5479,21,0.0589486744
-5478,21,0.0587843645
-5477,21,0.0585984747
-5476,21,0.058391006
-5475,21,0.058153282
-5474,21,0.0578850876
-5473,21,0.0575864069
-5472,21,0.0572570624
-5471,21,0.0568972991
-5470,21,0.0565408061
-5469,21,0.0561876004
-5468,21,0.0558377018
-5467,21,0.055491133
-5466,21,0.05514792
-5465,21,0.0548547191
-5464,21,0.0546103678
-5463,21,0.0544141297
-5462,21,0.0542649343
-5461,21,0.0541617082
-5460,21,0.0541529095
-5459,21,0.054231746
-5458,21,0.0543897813
-5457,21,0.054618379
-5456,21,0.0549082949
-5455,21,0.0552729726
-5454,21,0.055697518
-5453,21,0.0561670754
-5452,21,0.0566667347
-5451,21,0.0571823904
-5450,21,0.0577123464
-5449,21,0.0582415991
-5448,21,0.058756073
-5447,21,0.0592423332
-5446,21,0.0596876836
-5445,21,0.0600882156
-5444,21,0.0604371472
-5443,21,0.060729896
-5442,21,0.0609619331
-5441,21,0.0611292295
-5440,21,0.061247959
-5439,21,0.0613180327
-5438,21,0.0613392456
-5437,21,0.0613114431
-5436,21,0.0612350411
-5435,21,0.0611220917
-5434,21,0.0609726097
-5433,21,0.0607866445
-5432,21,0.0605644781
-5431,21,0.0603060165
-5430,21,0.0600295875
-5429,21,0.0597348074
-5428,21,0.0594223556
-5427,21,0.0590927426
-5426,21,0.0587463358
-5425,21,0.0584038811
-5424,21,0.0580657553
-5423,21,0.0577319366
-5422,21,0.0574029914
-5421,21,0.0570786793
-5420,21,0.0567807742
-5419,21,0.0565093579
-5418,21,0.0562643003
-5417,21,0.0560458619
-5416,21,0.0558540805
-5415,21,0.0556936233
-5414,21,0.0555648479
-5413,21,0.0554682465
-5412,21,0.0554040749
-5411,21,0.0553725521
-5410,21,0.0553710864
-5409,21,0.0553998435
-5408,21,0.0554585549
-5407,21,0.0555472898
-5406,21,0.0556660801
-5405,21,0.0558065607
-5404,21,0.0559687061
-5403,21,0.0561524388
-5402,21,0.0563576619
-5401,21,0.0565840273
-5400,21,0.0568315718
-5399,21,0.0570994482
-5398,21,0.0573870565
-5397,21,0.0576936773
-5396,21,0.0580183248
-5395,21,0.0583656672
-5394,21,0.058734273
-5393,21,0.0591228266
-5392,21,0.0595303086
-5391,21,0.0599550535
-5390,21,0.0604044235
-5389,21,0.0608775225
-5388,21,0.0613734972
-5387,21,0.0618914266
-5386,21,0.0624301836
-5385,21,0.0629994337
-5384,21,0.063598935
-5383,21,0.0642284194
