"","SiteID","PithouseID","PithouseOriginalID","Phase","SimplifiedPhase","Reference"
"1","10010","10010-001",NA,"Middle Jomon",NA,"千葉市文化財調査協会年俸　10"
"2","10010","10010-002","1","Otamadai","Otamadai-Katsuzaka","千葉市坊屋敷遺跡　千葉市文化財調査協会　2000"
"3","10010","10010-003","2","Otamadai","Otamadai-Katsuzaka","千葉市坊屋敷遺跡　千葉市文化財調査協会　2000"
"4","10010","10010-004","3","Kasori EII - EIV",NA,"千葉市坊屋敷遺跡　千葉市文化財調査協会　2000"
"5","10010","10010-005","4","Kasori EIII - EIV","Kasori E (late)","千葉市坊屋敷遺跡　千葉市文化財調査協会　2000"
"6","10010","10010-006","5","Kasori EIII - EIV","Kasori E (late)","千葉市坊屋敷遺跡　千葉市教育振興財団　2004"
"7","10010","10010-007","6","Kasori EIII - EIV","Kasori E (late)","千葉市坊屋敷遺跡　千葉市教育振興財団　2004"
"8","10018","10018-001","3","Horinouchi","Horinouchi","千葉市うならすず遺跡　千葉市文化財調査協会　2001"
"9","10018","10018-002","6","Kasori EIV - Shomyoji",NA,"千葉市うならすず遺跡　千葉市文化財調査協会　2001"
"10","10018","10018-003","9","Horinouchi 1","Horinouchi","千葉市うならすず遺跡　千葉市文化財調査協会　2001"
"11","10018","10018-004","11","Horinouchi 1","Horinouchi","千葉市うならすず遺跡　千葉市文化財調査協会　2001"
"12","10018","10018-005","10","Kasori EIV - Shomyoji",NA,"千葉市うならすず遺跡　千葉市文化財調査協会　2001"
"13","10018","10018-006","12","Kasori EIV","Kasori E (late)","千葉市うならすず遺跡　千葉市文化財調査協会　2001"
"14","10018","10018-007","13","Kasori EIV - Shomyoji",NA,"千葉市うならすず遺跡　千葉市文化財調査協会　2001"
"15","10018","10018-008","5","Shomyoji 1a","Shomyoji","千葉市うならすず遺跡　千葉市文化財調査協会　2001"
"16","10018","10018-009","15","Kasori EIV","Kasori E (late)","千葉市うならすず遺跡　千葉市文化財調査協会　2001"
"17","10018","10018-010","16","Horinouchi","Horinouchi","千葉市うならすず遺跡　千葉市文化財調査協会　2001"
"18","10018","10018-011","17","Kasori EIV","Kasori E (late)","千葉市うならすず遺跡　千葉市文化財調査協会　2001"
"19","10018","10018-012","18","Shomyoji I","Shomyoji","千葉市うならすず遺跡　千葉市文化財調査協会　2001"
"20","10018","10018-013","19","Middle Jomon - Late Jomon",NA,"千葉市うならすず遺跡　千葉市文化財調査協会　2001"
"21","10018","10018-014","14","Middle Jomon - Late Jomon",NA,"千葉市うならすず遺跡　千葉市文化財調査協会　2001"
"22","10018","10018-015","A-002","Kasori EIV","Kasori E (late)",NA
"23","10018","10018-016","A-007","Kasori EIV","Kasori E (late)",NA
"24","10018","10018-017","A-010","Kasori EIII","Kasori E (late)",NA
"25","10018","10018-018","A-014","Kasori EIII","Kasori E (late)",NA
"26","10018","10018-019","A-015","Kasori EIII","Kasori E (late)",NA
"27","10018","10018-020","A-016","Kasori EIV","Kasori E (late)",NA
"28","10018","10018-021","A-017","Shomyoji 1","Shomyoji",NA
"29","10018","10018-022","A-019","Kasori EIII","Kasori E (late)",NA
"30","10018","10018-023","A-020","Shomyoji 1","Shomyoji",NA
"31","10018","10018-024","A-021","Kasori EIII","Kasori E (late)",NA
"32","10018","10018-025","A-023","Kasori EIV - Shomyoji",NA,NA
"33","10018","10018-026","A-024","Kasori EIV","Kasori E (late)",NA
"34","10018","10018-027","A-025","Kasori EIV","Kasori E (late)",NA
"35","10018","10018-028","A-026","Shomyoji 1","Shomyoji",NA
"36","10018","10018-029","A-027","Kasori EIV","Kasori E (late)",NA
"37","10018","10018-030","A-028","Kasori EIV","Kasori E (late)",NA
"38","10018","10018-031","A-029","Kasori EIII","Kasori E (late)",NA
"39","10018","10018-032","A-030","Kasori EIV","Kasori E (late)",NA
"40","10018","10018-033","A-031","Shomyoji 1","Shomyoji",NA
"41","10018","10018-034","A-033","Shomyoji 1","Shomyoji",NA
"42","10018","10018-035","A-034","Kasori EIV - Shomyoji",NA,NA
"43","10018","10018-036","A-035","Kasori EIV","Kasori E (late)",NA
"44","10018","10018-037","A-037","Kasori EIII","Kasori E (late)",NA
"45","10018","10018-038","A-038","Kasori EIII","Kasori E (late)",NA
"46","10018","10018-039","A-039","Kasori EIV","Kasori E (late)",NA
"47","10018","10018-040","A-040","Kasori EIV","Kasori E (late)",NA
"48","10018","10018-041","A-043","Kasori E",NA,NA
"49","10018","10018-042","A-044","Kasori EIV","Kasori E (late)",NA
"50","10018","10018-043","A-045","Kasori EIII","Kasori E (late)",NA
"51","10018","10018-044","A-046","Kasori EIV","Kasori E (late)",NA
"52","10018","10018-045","A-049","Shomyoji 1","Shomyoji",NA
"53","10018","10018-046","A-054","Kasori EIV","Kasori E (late)",NA
"54","10018","10018-047","A-055","Shomyoji 1","Shomyoji",NA
"55","10018","10018-048","A-057","Kasori EIII","Kasori E (late)",NA
"56","10018","10018-049","A-058","Kasori EIV","Kasori E (late)",NA
"57","10018","10018-050","A-059","Kasori EIII","Kasori E (late)",NA
"58","10018","10018-051","A-060","Kasori EIV","Kasori E (late)",NA
"59","10018","10018-052","A-062","Shomyoji 2 - Horinouchi",NA,NA
"60","10018","10018-053","A-063","Kasori EIV","Kasori E (late)",NA
"61","10018","10018-054","A-064","Horinouchi","Horinouchi",NA
"62","10018","10018-055","A-065","Horinouchi","Horinouchi",NA
"63","10018","10018-056","A-066","Horinouchi 1","Horinouchi",NA
"64","10018","10018-057","A-067","Shomyoji 1","Shomyoji",NA
"65","10018","10018-058","A-068","Shomyoji 1 - Horinouchi 1",NA,NA
"66","10018","10018-059","A-069","Kasori EIV","Kasori E (late)",NA
"67","10018","10018-060","A-070","Shomyoji 1","Shomyoji",NA
"68","10018","10018-061","A-071","Kasori EIV","Kasori E (late)",NA
"69","10018","10018-062","A-072","Middle Jomon - Late Jomon",NA,NA
"70","10018","10018-063","A-073","Middle Jomon - Late Jomon",NA,NA
"71","10018","10018-064","A-074","Kasori EIII","Kasori E (late)",NA
"72","10018","10018-065","A-075","Shomyoji 1","Shomyoji",NA
"73","10018","10018-066","A-076","Horinouchi 1","Horinouchi",NA
"74","10018","10018-067","A-078a","Kasori EIII - Horinouchi 1",NA,NA
"75","10018","10018-068","A-078b","Kasori EIII - Horinouchi 1",NA,NA
"76","10018","10018-069","A-079","Kasori EIV","Kasori E (late)",NA
"77","10018","10018-070","A-080a","Shomyoji 1","Shomyoji",NA
"78","10018","10018-071","A-080b","Shomyoji 1","Shomyoji",NA
"79","10018","10018-072","A-081a","Horinouchi 1","Horinouchi",NA
"80","10018","10018-073","A-081b","Horinouchi 1","Horinouchi",NA
"81","10018","10018-074","A-081c","Horinouchi 1","Horinouchi",NA
"82","10018","10018-075","A-081d","Horinouchi 1","Horinouchi",NA
"83","10018","10018-076","A-082","Shomyoji 1","Shomyoji",NA
"84","10018","10018-077","A-083","Kasori EIV","Kasori E (late)",NA
"85","10018","10018-078","A-084","Kasori EIV","Kasori E (late)",NA
"86","10018","10018-079","A-085","Shomyoji 2","Shomyoji",NA
"87","10029","10029-001","A-001","Shomyoji","Shomyoji","千葉市平和公園遺跡群I　千葉市教育振興財団　2003"
"88","10029","10029-002","A-003","Kasori EIII","Kasori E (late)","千葉市平和公園遺跡群I　千葉市教育振興財団　2003"
"89","10029","10029-003","A-004","Kasori EIII - EIV","Kasori E (late)","千葉市平和公園遺跡群I　千葉市教育振興財団　2003"
"90","10029","10029-004","A-007","Kasori B","Kasori B","千葉市平和公園遺跡群I　千葉市教育振興財団　2003"
"91","10029","10029-005","A-008","Kasori B","Kasori B","千葉市平和公園遺跡群I　千葉市教育振興財団　2003"
"92","10029","10029-006","A-009","Kasori B","Kasori B","千葉市平和公園遺跡群I　千葉市教育振興財団　2003"
"93","10029","10029-007","A-010","Kasori EIV","Kasori E (late)","千葉市平和公園遺跡群I　千葉市教育振興財団　2003"
"94","10029","10029-008","A-012","Soya - Angyo 3a",NA,"千葉市平和公園遺跡群I　千葉市教育振興財団　2003"
"95","10029","10029-009","A-013","Soya - Angyo 1",NA,"千葉市平和公園遺跡群I　千葉市教育振興財団　2003"
"96","10029","10029-010","A-014","Soya - Angyo 1",NA,"千葉市平和公園遺跡群I　千葉市教育振興財団　2003"
"97","10029","10029-011","A-015","Horinouchi 1","Horinouchi","千葉市平和公園遺跡群I　千葉市教育振興財団　2003"
"98","10029","10029-012","A-021","Kasori EIV","Kasori E (late)","千葉市平和公園遺跡群I　千葉市教育振興財団　2003"
"99","10030","10030-001",NA,"Jomon",NA,"千葉市文化財調査協会年俸　10"
"100","10038","10038-001","A-002","Kasori EIII","Kasori E (late)","千葉市平和公園遺跡群I　千葉市教育振興財団　2003"
"101","10038","10038-002","A-008","Horinouchi 1","Horinouchi","千葉市平和公園遺跡群I　千葉市教育振興財団　2003"
"102","10086","10086-001","1","Kasori EIV","Kasori E (late)","千葉市　堀之内城後　免谷津遺跡　志保多遺跡　千葉市教育振興財団　2003"
"103","10116","10116-001","1","Horinouchi 1","Horinouchi","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"104","10116","10116-002","2","Kasori EIV","Kasori E (late)","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"105","10116","10116-003","3","Kasori B1","Kasori B","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"106","10116","10116-004","4","Kasori EIV","Kasori E (late)","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"107","10117","10117-001","2","Kasori EIII","Kasori E (late)","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"108","10118","10118-001","2","Late Jomon",NA,"千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"109","10118","10118-002","3","Angyo 2","Angyo 1 & 2","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"110","10119","10119-001","14","Kasori EIV","Kasori E (late)","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"111","10120","10120-001","1","Kasori EIV","Kasori E (late)","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"112","10120","10120-003","3","Kurohama",NA,"千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"113","10120","10120-004","4","Early Jomon",NA,"千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"114","10120","10120-005","5","Early Jomon",NA,"千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"115","10120","10120-006","6","Shomyoji 1","Shomyoji","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"116","10120","10120-007","7","Shomyoji 1","Shomyoji","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"117","10120","10120-008","8","Shomyoji 1","Shomyoji","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"118","10120","10120-009","9","Kasori EII (up to)","Kasori E (early)","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"119","10120","10120-010","10","Shomyoji 1","Shomyoji","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"120","10120","10120-011","11","Shomyoji 1","Shomyoji","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"121","10120","10120-012","12","Shomyoji 1","Shomyoji","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"122","10122","10122-001","1","Kasori B3","Kasori B","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"123","10122","10122-002","2","Kasori B1","Kasori B","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"124","10122","10122-003","3","Kasori B1","Kasori B","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"125","10122","10122-004","4","Kasori B1","Kasori B","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"126","10122","10122-005","5","Kasori B1","Kasori B","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"127","10122","10122-006","6","Kasori B1","Kasori B","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"128","10122","10122-007","7","Kasori EIII","Kasori E (late)","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"129","10122","10122-008","8","Kasori B1","Kasori B","千葉市下泉町遺跡群　千葉市教育振興財団　2007"
"130","10150","10150-001",NA,"Jomon",NA,"千葉市　川崎遺跡　草刈場北遺跡　味噌草野遺跡　千葉市文化財調査協会　２００２"
"131","10159","10159-001",NA,"Middle Jomon",NA,"埋蔵文化財調査（市内遺跡群）報告書　平成7年　千葉市教育委員会　1996"
"132","10159","10159-002","1","Otamadai","Otamadai-Katsuzaka","千葉市榎木作遺跡　網田遺跡　宇津志野遺跡群　海老遺跡　荒屋敷貝塚　千葉教育委員会"
"133","10159","10159-003","2","Otamadai - Kasori E",NA,"千葉市榎木作遺跡　網田遺跡　宇津志野遺跡群　海老遺跡　荒屋敷貝塚　千葉教育委員会"
"134","10160","10160-001",NA,"Kasori E",NA,"千葉市文化財調査協会年俸　10"
"135","10160","10160-003",NA,"Kasori E",NA,NA
"136","10160","10160-004",NA,"Kasori E",NA,NA
