"LabID","CRA","Error","DC13","DateMethod","Material","Species","SiteName","SiteContext","SiteType","AdminRegion","Country","Longitude","Latitude","LocQual","Source","Comments"
"VERA-1327",3050,40,,"AMS","charcoal",,"Mauk A","Mauk A 43","smelting site (copper)","Tyrol","AT",11.953293,47.438991,"B","Goldenberg2015",
"VERA-4897",3010,35,,"AMS","charcoal",,"Mauk A","Mauk A 147","smelting site (copper)","Tyrol","AT",11.953293,47.438991,"B","Goldenberg2015",
"VERA-1328",3000,40,,"AMS","charcoal",,"Mauk A","Mauk A 44","smelting site (copper)","Tyrol","AT",11.953293,47.438991,"B","Goldenberg2015",
"VERA-4898",2980,35,,"AMS","charcoal",,"Mauk A","Mauk A 187","smelting site (copper)","Tyrol","AT",11.953293,47.438991,"B","Goldenberg2015",
"VERA-4894",2960,35,,"AMS","charcoal",,"Mauk A","Mauk A 82","smelting site (copper)","Tyrol","AT",11.953293,47.438991,"B","Goldenberg2015",
"VERA-4896",2920,35,,"AMS","charcoal",,"Mauk A","Mauk A 111","smelting site (copper)","Tyrol","AT",11.953293,47.438991,"B","Goldenberg2015",
"VERA-4899",2905,35,,"AMS","charcoal",,"Mauk A","Mauk A 188","smelting site (copper)","Tyrol","AT",11.953293,47.438991,"B","Goldenberg2015",
"GrN-32478",2895,25,,"LSC","charcoal",,"Mauk A","Mauk A 40","smelting site (copper)","Tyrol","AT",11.953293,47.438991,"B","Goldenberg2015",
"VERA-1326",2890,45,,"AMS","charcoal",,"Mauk A","Mauk A 40","smelting site (copper)","Tyrol","AT",11.953293,47.438991,"B","Goldenberg2015",
"GrN-32477",2890,20,,"LSC","charcoal",,"Mauk A","Mauk A 40","smelting site (copper)","Tyrol","AT",11.953293,47.438991,"B","Goldenberg2015",
"VERA-1329",2885,40,,"AMS","charcoal",,"Mauk A","Mauk A 46","smelting site (copper)","Tyrol","AT",11.953293,47.438991,"B","Goldenberg2015",
"VERA-4895",2880,40,,"AMS","charcoal",,"Mauk A","Mauk A 108","smelting site (copper)","Tyrol","AT",11.953293,47.438991,"B","Goldenberg2015",
"VERA-1325",2860,35,,"AMS","charcoal",,"Mauk A","Mauk A 38","smelting site (copper)","Tyrol","AT",11.953293,47.438991,"B","Goldenberg2015",
"VERA-1547",2905,30,,"AMS","charcoal",,"Mauk D","Mauk D 54","mine (copper,pingenfeld)","Tyrol","AT",11.952203,47.435955,"B","Goldenberg2015",
"VERA-1606",2890,30,,"AMS","charcoal",,"Mauk D","Mauk D 240","mine (copper,pingenfeld)","Tyrol","AT",11.952203,47.435955,"B","Goldenberg2015",
"VERA-1550",2885,40,,"AMS","charcoal",,"Mauk D","Mauk D 58","mine (copper,pingenfeld)","Tyrol","AT",11.952203,47.435955,"B","Goldenberg2015",
"VERA-1549",2835,35,,"AMS","charcoal",,"Mauk D","Mauk D 57","mine (copper,pingenfeld)","Tyrol","AT",11.952203,47.435955,"B","Goldenberg2015",
"VERA-1544",2815,30,,"AMS","charcoal",,"Mauk D","Mauk D 50","mine (copper,pingenfeld)","Tyrol","AT",11.952203,47.435955,"B","Goldenberg2015",
"VERA-1545",2725,30,,"AMS","charcoal",,"Mauk D","Mauk D 51","mine (copper,pingenfeld)","Tyrol","AT",11.952203,47.435955,"B","Goldenberg2015",
"VERA-1546",2645,40,,"AMS","charcoal",,"Mauk D","Mauk D 52","mine (copper,pingenfeld)","Tyrol","AT",11.952203,47.435955,"B","Goldenberg2015",
"VERA-1607",2815,30,,"AMS","charcoal",,"Mauk E","fire-setting;Mauk E 7","mine (copper)","Tyrol","AT",11.95345,47.437139,"B","Goldenberg2015;RADON",
"VERA-4451",2780,30,,"AMS","charcoal",,"Mauk E","fire-setting;Mauk E S2H, mine S2, Schicht H","mine (copper)","Tyrol","AT",11.95345,47.437139,"B","Goldenberg2015;RADON",
"VERA-4901",2735,35,,"AMS","charcoal",,"Mauk E","fire-setting;Mauk E 77b","mine (copper)","Tyrol","AT",11.95345,47.437139,"B","Goldenberg2015;RADON",
"VERA-4446",2710,30,,"AMS","charcoal",,"Mauk E","fire-setting;Mauk E 51, mine S2, Schicht M","mine (copper)","Tyrol","AT",11.95345,47.437139,"B","Goldenberg2015;RADON",
"VERA-4448",2520,40,,"AMS","charcoal",,"Mauk E","fire-setting;Mauk E 53, mine S2, Schicht L","mine (copper)","Tyrol","AT",11.95345,47.437139,"B","Goldenberg2015;RADON",
"VERA-4447",2515,40,,"AMS","charcoal",,"Mauk E","fire-setting;Mauk E 30, mine S1, Halde 34","mine (copper)","Tyrol","AT",11.95345,47.437139,"B","Goldenberg2015;RADON",
"VERA-4452",2505,40,,"AMS","charcoal",,"Mauk E","fire-setting;Mauk E S2FGH, mine S2, Schicht FGH","mine (copper)","Tyrol","AT",11.95345,47.437139,"B","Goldenberg2015;RADON",
"VERA-4453",2470,40,,"AMS","charcoal",,"Mauk E","fire-setting;Mauk E 41, mine S1, Halde 21","mine (copper)","Tyrol","AT",11.95345,47.437139,"B","Goldenberg2015;RADON",
"VERA-4450",2445,30,,"AMS","charcoal",,"Mauk E","fire-setting;Mauk E S2H, mine S2, Schicht H","mine (copper)","Tyrol","AT",11.95345,47.437139,"B","Goldenberg2015;RADON",
"VERA-4900",2445,35,,"AMS","charcoal",,"Mauk E","fire-setting;Mauk E 77a","mine (copper)","Tyrol","AT",11.95345,47.437139,"B","Goldenberg2015;RADON",
"VERA-4449",2440,35,,"AMS","charcoal",,"Mauk E","fire-setting;Mauk E 37, mine S1, Halde 36","mine (copper)","Tyrol","AT",11.95345,47.437139,"B","Goldenberg2015;RADON",
"VERA-4595",2805,35,,"AMS","wood (waterlogged)","Abies","Mauk F","Mauk F 5-3","ore processing site (copper)","Tyrol","AT",11.938428,47.429945,"B","Goldenberg2015;RADON",
"GrN-31353",2790,40,,"LSC","wood (waterlogged)","Picea","Mauk F","Mauk F 22","ore processing site (copper)","Tyrol","AT",11.938428,47.429945,"B","Goldenberg2015;RADON",
"VERA-4903",2780,35,,"AMS","wood (waterlogged)","Abies","Mauk F","Mauk F 138","ore processing site (copper)","Tyrol","AT",11.938428,47.429945,"B","Goldenberg2015;RADON",
"VERA-4902",2775,35,,"AMS","wood (waterlogged)","Abies","Mauk F","Mauk F 107","ore processing site (copper)","Tyrol","AT",11.938428,47.429945,"B","Goldenberg2015;RADON",
"GrN-31354",2770,40,,"LSC","wood (waterlogged)","Picea","Mauk F","Mauk F 55","ore processing site (copper)","Tyrol","AT",11.938428,47.429945,"B","Goldenberg2015;RADON",
"VERA-1324",2710,35,,"AMS","charcoal",,"Moosschrofen","Moos D 1",,"Tyrol","AT",11.930407,47.430525,"B","Goldenberg2015",
"VERA-1323",2505,35,,"AMS","charcoal",,"Moosschrofen","Moos C 2",,"Tyrol","AT",11.930407,47.430525,"B","Goldenberg2015",
